PUESTO;SALARIO;JORNADA;AÑOS DE SERVICIO;MES COMPLETO;CARGO ADMINISTRATIVO
PROFESOR INTERINO LICENCIADO           ;459925.30;0.500;6;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;148521.60;0.250;33; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ASOCIADO                      ;3930660.00;1.000;26; ;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;4826026.00;1.000;30; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ASOCIADO                      ;3706740.00;1.000;36; ;PUESTO NO ADMINISTRATIVO 
TRABAJADOR OPERATIVO C;1411553.00;1.000;33; ;OPERADOR DE CENTRAL TELEFÓNICA                                                                                                                                                                                                                                  
PROFESOR INTERINO LICENCIADO           ;288496.65;0.438;19;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;147660.60;0.250;0;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
TECNICO ASISTENCIAL B;1372341.00;1.000;25; ;ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     
PROFESOR INTERINO;3564831.00;1.250;24; ;PENDIENTE.                                                                                                                                                                                                                                                      
PROFESOR ASOCIADO                      ;3373970.00;1.000;29; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;1973268.00;1.000;9; ;PUESTO NO ADMINISTRATIVO 
DIRECTOR DE ESCUELA;3184685.00;1.000;24; ;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO B;1612119.00;1.000;28; ;TÉCNICO DE LABORATORIO DE BOTÁNICA Y MICOLOGÍA                                                                                                                                                                                                                  
PROFESOR INTERINO LICENCIADO           ;1693387.00;1.000;22; ;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO D;1975660.00;1.000;31; ;TÉCNICO EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                            
PROFESOR ADJUNTO                       ;1411831.00;0.500;29; ;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO D;1919612.00;1.000;29; ;TÉCNICO EN APOYO FINANCIERO DE SEDE                                                                                                                                                                                                                             
PROFESOR ADJUNTO                       ;1668289.95;0.874;20; ;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;5018211.00;1.000;26; ;PUESTO NO ADMINISTRATIVO 
TECNICO ASISTENCIAL A;1433928.00;1.000;32; ;ASISTENTE DE AGRONOMÍA                                                                                                                                                                                                                                          
PROFESOR INTERINO LICENCIADO           ;433762.00;0.500;10;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESIONAL C;3423279.00;1.000;33; ;PROFESIONAL COORDINADOR DE CASED                                                                                                                                                                                                                                
PROFESOR INSTRUCTOR                    ;983169.00;0.500;23; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;2490632.00;1.000;33; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;219424.10;0.125;20; ;PUESTO NO ADMINISTRATIVO 
TECNICO ASISTENCIAL A;1515034.00;1.000;37; ;ASISTENTE DE OFICINA                                                                                                                                                                                                                                            
PROFESOR INTERINO LICENCIADO           ;844760.95;1.000;7;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;568027.25;0.500;22;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESIONAL C;3667989.00;1.000;30; ;PROFESIONAL EN AUDITORÍAS COMPLEJAS                                                                                                                                                                                                                             
PROFESOR INTERINO LICENCIADO           ;2344572.00;1.000;34; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ADJUNTO                       ;1227678.00;0.500;32; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ADJUNTO                       ;2339936.00;1.000;19; ;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;4897108.00;1.000;36; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ASOCIADO                      ;3056332.00;1.000;19; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ADJUNTO                       ;2369672.00;1.000;15; ;PUESTO NO ADMINISTRATIVO 
TRABAJADOR OPERATIVO A;1135747.00;1.000;23; ;TRABAJADOR AGROPECUARIO                                                                                                                                                                                                                                         
PROFESOR CATEDRATICO                   ;4348286.00;1.000;22; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;180145.90;0.250;14;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR ASOCIADO                      ;3160198.80;0.823;31; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;113842.10;0.125;10;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESIONAL B;3210215.00;1.000;33; ;JEFATURA ADMINISTRATIVA B DE ESCUELA                                                                                                                                                                                                                            
TECNICO ASISTENCIAL B;1351064.00;1.000;24; ;OPERARIO EN MANTENIMIENTO GENERAL DE INSTALACIONES DE SEDE                                                                                                                                                                                                      
PROFESOR CATEDRATICO                   ;3756701.00;1.000;24; ;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO B;1588235.00;1.000;27; ;TÉCNICO EN BIBLIOTECOLOGÍA                                                                                                                                                                                                                                      
PROFESOR INSTRUCTOR                    ;568325.75;0.250;19; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL A;2675188.00;1.000;33; ;PENDIENTE                                                                                                                                                                                                                                                       
PROFESIONAL B;2678848.00;1.000;31; ;PROFESIONAL EN APOYO A LA INVESTIGACIÓN AGRONÓMICA                                                                                                                                                                                                              
TECNICO ASISTENCIAL A;1333653.00;1.000;27; ;OPERARIO EN MANTENIMIENTO GENERAL DE INSTALACIONES                                                                                                                                                                                                              
TECNICO ESPECIALIZADO D;2031707.00;1.000;33; ;TÉCNICO COORDINADOR DE MANTENIMIENTO                                                                                                                                                                                                                            
JEFE A;3638504.00;1.000;34; ;JEFE DE PROMOCIÓN DE LA INVESTIGACIÓN                                                                                                                                                                                                                           
PROFESOR INSTRUCTOR                    ;2504353.50;1.000;26; ;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;3443560.00;1.000;27; ;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;4842369.00;1.000;24; ;PUESTO NO ADMINISTRATIVO 
TECNICO ASISTENCIAL A;1273489.00;1.000;24; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;1849408.00;1.000;14; ;PUESTO NO ADMINISTRATIVO 
JEFE A;3684579.00;1.000;30; ;JEFE DE DISEÑO Y PLANIFICACIÓN DE INFRAESTRUCTURAS DE OEPI                                                                                                                                                                                                      
TRABAJADOR OPERATIVO B;1330829.00;1.000;33; ;CONSERJE                                                                                                                                                                                                                                                        
PROFESOR INTERINO LICENCIADO           ;973770.00;0.750;11; ;PUESTO NO ADMINISTRATIVO 
TRABAJADOR OPERATIVO C;1444003.00;1.000;35; ;CHOFER                                                                                                                                                                                                                                                          
PROFESOR CATEDRATICO                   ;8573812.00;1.000;49; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;1742921.90;1.000;19; ;PROFESIONAL EN ODONTOLOGÍA                                                                                                                                                                                                                                      
TECNICO ASISTENCIAL B;1500000.00;1.000;31; ;ASISTENTE DE REGISTRO E INFORMACIÓN ESTUDIANTIL                                                                                                                                                                                                                 
TRABAJADOR OPERATIVO C;1691698.00;1.000;25; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESOR INSTRUCTOR                    ;1983473.00;1.000;13; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ADJUNTO                       ;1847323.55;0.782;21; ;PUESTO NO ADMINISTRATIVO 
TRABAJADOR OPERATIVO C;1790751.00;1.000;23; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
PROFESOR INSTRUCTOR                    ;2759944.50;1.000;15; ;PUESTO NO ADMINISTRATIVO 
TRABAJADOR OPERATIVO B;1392872.00;1.000;35; ;CONSERJE                                                                                                                                                                                                                                                        
PROFESOR INTERINO LICENCIADO           ;646085.75;0.500;9;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;1823015.00;1.000;21; ;PUESTO NO ADMINISTRATIVO 
TRABAJADOR OPERATIVO A;1363280.00;1.000;34; ;TRABAJADOR AGROPECUARIO                                                                                                                                                                                                                                         
PROFESOR CATEDRATICO                   ;5990613.00;1.000;33; ;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;7207706.00;1.000;34; ;PUESTO NO ADMINISTRATIVO 
DECANO;7042986.00;1.000;35; ;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;4069194.00;1.000;31; ;PUESTO NO ADMINISTRATIVO 
DIRECTOR DE ESCUELA;3875942.00;1.000;31; ;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;5044512.50;1.000;36; ;PUESTO NO ADMINISTRATIVO 
RECTOR;6561455.00;1.000;24; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;114003.60;0.125;23;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO B;1332131.00;1.000;19; ;TÉCNICO EN APOYO A LOS PROCESOS DE RECURSOS HUMANOS DE SEDE                                                                                                                                                                                                     
PROFESOR INSTRUCTOR                    ;583312.00;0.500;9; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL B;2945838.00;1.000;23; ;PROFESIONAL EN AUDITORÍA                                                                                                                                                                                                                                        
PROFESOR CATEDRATICO                   ;4445971.00;1.000;27; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL B;3409280.00;1.000;36; ;PROFESIONAL EN ORIENTACIÓN ESTUDIANTIL DE SEDE                                                                                                                                                                                                                  
PROFESOR CATEDRATICO                   ;4150927.00;1.000;27; ;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO D;2003683.00;1.000;32; ;PENDIENTE........                                                                                                                                                                                                                                               
PROFESIONAL C;3123277.00;1.000;27; ;PROFESIONAL COORDINADOR DE OBRAS DE INFRAESTRUCTURAS                                                                                                                                                                                                            
PROFESOR INTERINO LICENCIADO           ;73830.30;0.125;0;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
VICERRECTOR;6152690.00;1.000;20; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;305444.50;0.188;15; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ASOCIADO                      ;4596569.00;1.000;32; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;1299790.00;0.589;25; ;PUESTO NO ADMINISTRATIVO 
TRABAJADOR OPERATIVO C;1469962.00;1.000;37; ;CHOFER                                                                                                                                                                                                                                                          
PROFESOR CATEDRATICO                   ;4275415.00;1.000;15; ;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO D;1947636.00;1.000;31; ;TÉCNICO DE LABORATORIO EN BROMATOLOGÍA                                                                                                                                                                                                                          
PROFESOR ADJUNTO                       ;2652670.00;1.000;32; ;PUESTO NO ADMINISTRATIVO 
TRABAJADOR OPERATIVO C;1372614.00;1.000;31; ;ENCARGADO DE SERVICIO DE CONSERJERÍA                                                                                                                                                                                                                            
PROFESOR ASOCIADO                      ;2947210.00;1.000;31; ;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;3372821.00;1.000;27; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL D;3590283.00;1.000;32; ;PROFESIONAL COORDINADOR DE EXPEDIENTES ACADÉMICOS Y GRADUACIONES                                                                                                                                                                                                
TECNICO ASISTENCIAL B;1393617.00;1.000;26; ;SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         
PROFESIONAL B;2810844.00;1.000;28; ;PENDIENTE.                                                                                                                                                                                                                                                      
PROFESOR INSTRUCTOR                    ;399944.75;0.250;17; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL C;2978593.00;1.000;29; ;PROFESIONAL COORDINADOR DE COMERCIALIZACIÓN                                                                                                                                                                                                                     
JEFE A;3917552.00;1.000;35; ;JEFE DE TECNOLOGÍAS DE INFORMACIÓN                                                                                                                                                                                                                              
PROFESOR CATEDRATICO                   ;2133989.00;0.500;31; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ASOCIADO                      ;3479650.00;1.000;30; ;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO B;1914391.00;1.000;28; ;TÉCNICO EN SISTEMAS DE SEGURIDAD ELECTRÓNICA                                                                                                                                                                                                                    
PROFESOR ADJUNTO                       ;2535431.00;1.000;26; ;PUESTO NO ADMINISTRATIVO 
TRABAJADOR OPERATIVO B;1293603.00;1.000;28; ;CONSERJE                                                                                                                                                                                                                                                        
PROFESOR INSTRUCTOR                    ;1138783.50;0.500;38; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;2435731.00;1.000;30; ;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO D;1947636.00;1.000;30; ;TÉCNICO EN BECAS Y BENEFICIOS COMPLEMENTARIOS DE SEDE                                                                                                                                                                                                           
PROFESOR CATEDRATICO                   ;5935085.00;1.000;32; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL C;3496809.00;1.000;35; ;PROFESIONAL EN GESTIÓN ADMINISTRATIVA Y DE PROYECTOS DEL CIEDES                                                                                                                                                                                                 
TECNICO ESPECIALIZADO D;1919612.00;1.000;31; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;96077.85;0.250;9;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR PROFESOR SEP CONTRACTUAL      ;176785.80;0.250;0;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESIONAL B;3187157.00;1.000;35; ;PROFESIONAL EN APOYO DE EVALUACIÓN DE PLANES UNIVERSITARIOS                                                                                                                                                                                                     
PROFESOR INSTRUCTOR                    ;1819579.70;0.677;30; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ASOCIADO                      ;3179420.00;1.000;23; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ASOCIADO                      ;3749044.00;1.000;30; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;185683.15;0.250;9;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
TRABAJADOR OPERATIVO C;1444063.00;1.000;14; ;OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              
TRABAJADOR OPERATIVO B;1200538.00;1.000;25; ;CONSERJE                                                                                                                                                                                                                                                        
TECNICO ESPECIALIZADO B;1461315.15;1.000;25; ;TÉCNICO DE LABORATORIO EN BIOLOGÍA MOLECULAR                                                                                                                                                                                                                    
PROFESOR INTERINO LICENCIADO           ;1772743.00;1.000;25; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ASOCIADO                      ;2882476.00;1.000;15; ;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;3921547.00;1.000;24; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;2852491.00;1.000;27; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;925126.65;0.657;7; ;PUESTO NO ADMINISTRATIVO 
TECNICO ASISTENCIAL B;1372341.00;1.000;22; ;ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     
TECNICO ASISTENCIAL A;1373763.00;1.000;28; ;OPERARIO EN MANTENIMIENTO GENERAL DE INSTALACIONES                                                                                                                                                                                                              
PROFESOR INSTRUCTOR                    ;1144290.00;0.500;13; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;1580728.00;1.000;20; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL C;1592887.00;1.000;3; ;PROFESIONAL EN APOYO A LA INVESTIGACIÓN EN SISMOLOGÍA                                                                                                                                                                                                           
PROFESIONAL B;3115008.00;1.000;36; ;JEFATURA ADMINISTRATIVA B DE ESCUELA                                                                                                                                                                                                                            
PROFESIONAL C;2206956.50;1.000;24; ;PROFESIONAL EDITOR DE REVISTA DE BIOLOGÍA TROPICAL                                                                                                                                                                                                              
PROFESOR INTERINO LICENCIADO           ;1916326.00;1.000;32; ;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;5122429.00;1.000;36; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;2133460.00;1.000;20; ;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO C;1679493.00;1.000;23; ;TÉCNICO EN TRÁMITE DE CONVENIOS Y LOGÍSTICA                                                                                                                                                                                                                     
PROFESOR ASOCIADO                      ;1449500.00;0.500;29; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;280493.80;0.250;18;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;256165.85;0.250;10;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR ADJUNTO                       ;2930238.00;1.000;29; ;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO D;2115777.00;1.000;36; ;TÉCNICO DE LABORATORIO DE ANÁLISIS CLÍNICOS                                                                                                                                                                                                                     
PROFESOR INTERINO LICENCIADO           ;749298.40;0.605;10; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;413314.25;0.250;13; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;2019815.00;1.000;15; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;111142.60;0.125;2; ;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO D;2003683.00;1.000;31; ;TÉCNICO DE LABORATORIO DE ANÁLISIS CLÍNICOS                                                                                                                                                                                                                     
PROFESOR ASOCIADO                      ;281754.60;0.125;17; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL B;2692052.00;1.000;25; ;PROFESIONAL EN APOYO A LA INVESTIGACIÓN MICROBIOLÓGICA                                                                                                                                                                                                          
PROFESOR CATEDRATICO                   ;2638527.75;0.750;28; ;PUESTO NO ADMINISTRATIVO 
TECNICO ASISTENCIAL B;1414894.00;1.000;23; ;SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         
PROFESOR INTERINO LICENCIADO           ;1678547.00;1.000;19; ;PUESTO NO ADMINISTRATIVO 
DECANO;4985541.00;1.000;27; ;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;5410393.00;1.000;30; ;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO EDUCACION SUPERIOR;1305938.50;0.500;31; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO LICENCIADO           ;167529.95;0.125;13; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;212985.45;0.125;19; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;242416.10;0.125;23; ;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;3484439.00;1.000;23; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL A;2801300.00;1.000;36; ;PROFESIONAL EN ENSAYOS BIOLÓGICOS                                                                                                                                                                                                                               
PROFESIONAL C;3166135.00;1.000;28; ;PROFESIONAL COORDINADOR DE GESTIÓN DE PAGO                                                                                                                                                                                                                      
PROFESOR INTERINO LICENCIADO           ;1855101.00;1.000;18; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ADJUNTO EDUCACION SUPERIOR    ;473928.25;0.250;20; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL A;2152934.00;1.000;24; ;PROFESIONAL EN CONSULTORÍA JURÍDICA                                                                                                                                                                                                                             
PROFESOR INSTRUCTOR                    ;1924323.00;1.000;21; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INTERINO SIN TITULO           ;112093.60;0.188;18;MES INCOMPLETO;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;5339210.00;1.000;45; ;PUESTO NO ADMINISTRATIVO 
TECNICO ASISTENCIAL A;1433928.00;1.000;34; ;PUESTO NO ADMINISTRATIVO 
JEFE A;4026880.00;1.000;33; ;PENDIENTE                                                                                                                                                                                                                                                       
JEFE B;4570701.00;1.000;33; ;JEFE DE AUDITORÍA                                                                                                                                                                                                                                               
PROFESIONAL A;2505666.00;1.000;28; ;JEFATURA ADMINISTRATIVA A DE CENTRO                                                                                                                                                                                                                             
PROFESOR CATEDRATICO                   ;3952985.00;1.000;26; ;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO B;1673765.00;1.000;26; ;TÉCNICO DE LABORATORIO EN ESPECTROMETRÍA GAMMA                                                                                                                                                                                                                  
PROFESIONAL C;3088475.00;1.000;17; ;PUESTO NO ADMINISTRATIVO 
JEFE A;3623145.00;1.000;26; ;JEFE DE BIENES INSTITUCIONALES                                                                                                                                                                                                                                  
PROFESOR ASOCIADO                      ;2906969.00;1.000;18; ;PUESTO NO ADMINISTRATIVO 
DIRECTOR DE ESCUELA;2506147.00;1.000;21; ;PUESTO NO ADMINISTRATIVO 
PROFESOR ASOCIADO                      ;3637250.00;1.000;32; ;PUESTO NO ADMINISTRATIVO 
TECNICO ESPECIALIZADO B;1739496.00;1.000;32; ;TÉCNICO EN MECÁNICA AUTOMOTRIZ                                                                                                                                                                                                                                  
PROFESIONAL C;3650992.00;1.000;34; ;PROFESIONAL EN ELABORACIÓN DE SOFTWARE EDUCATIVO                                                                                                                                                                                                                
PROFESOR INSTRUCTOR                    ;504603.25;0.250;28; ;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;4519726.00;1.000;29; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;1256283.75;0.750;22; ;PUESTO NO ADMINISTRATIVO 
PROFESOR CATEDRATICO                   ;4482651.00;1.000;25; ;PUESTO NO ADMINISTRATIVO 
PROFESIONAL A;2322456.00;1.000;29; ;PROFESIONAL EN GESTIÓN INTEGRAL DE PAGO                                                                                                                                                                                                                         
TECNICO ASISTENCIAL B;1265958.00;1.000;18; ;SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         
TECNICO ASISTENCIAL B;1542553.00;1.000;33; ;ASISTENTE DE PROGRAMAS DEPORTIVOS Y RECREATIVOS                                                                                                                                                                                                                 
PROFESIONAL C;1886007.00;1.000;16; ;Profesional Coordinador de Registro de Colecciones                                                                                                                                                                                                              
PROFESIONAL A;2804067.00;1.000;34; ;PROFESIONAL EN MANTENIMIENTO DE EQUIPO ELECTRÓNICO                                                                                                                                                                                                              
JEFE A;3592428.00;1.000;32; ;JEFE DE TECNOLOGÍAS DE INFORMACIÓN                                                                                                                                                                                                                              
PROFESOR ASOCIADO                      ;3557477.00;1.000;31; ;PUESTO NO ADMINISTRATIVO 
PROFESOR INSTRUCTOR                    ;1614646.75;0.855;16; ;PUESTO NO ADMINISTRATIVO 
TECNICO ASISTENCIAL A;1353708.00;1.000;28; ;BODEGUERO                                                                                                                                                                                                                                                       
