position,salary,hours,years,respon,salq,years_cut,time
PROFESOR INTERINO LICENCIADO           ,422380.5,1/4 de tiempo,12,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(10.0, 20.0]",2020-08-01
TRABAJADOR OPERATIVO B,1405281.0,Tiempo Completo,37,MENSAJERO                                                                                                                                                                                                                                                       ,"(1294735.0, 1588235.0]","(30.0, 40.0]",2020-08-01
PROFESOR ASOCIADO                      ,3359543.05,Tiempo Completo,24,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESIONAL D,3602558.0,Tiempo Completo,28,PROFESIONAL COORDINADOR DE AUDITORÍAS COMPLEJAS                                                                                                                                                                                                                 ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
TRABAJADOR OPERATIVO C,1333674.0,Tiempo Completo,29,PUESTO NO ADMINISTRATIVO ,"(1294735.0, 1588235.0]","(20.0, 30.0]",2020-08-01
PROFESIONAL A,2607379.0,Tiempo Completo,31,PROFESIONAL EN CANJE DE RECURSOS BIBLIOGRÁFICOS                                                                                                                                                                                                                 ,"(2051220.0, 2802037.0]","(30.0, 40.0]",2020-08-01
DIRECTOR ESTACION EXPERIMENTAL,7355390.0,Tiempo Completo,37,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,157806.0,1/8 de tiempo,14,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(10.0, 20.0]",2020-08-01
PROFESIONAL A,2491979.0,Tiempo Completo,35,FACILITADOR EN EL TRÁMITE DE PROYECTOS DE EXTENSIÓN CULTURAL Y DOCENTE                                                                                                                                                                                          ,"(2051220.0, 2802037.0]","(30.0, 40.0]",2020-08-01
PROFESOR CATEDRATICO                   ,3137316.0,Tiempo Completo,21,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR ADJUNTO                       ,2904351.0,Tiempo Completo,33,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
TECNICO ESPECIALIZADO D,2031707.0,Tiempo Completo,33,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(30.0, 40.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,2401921.5,Tiempo Completo,21,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(20.0, 30.0]",2020-08-01
VICERRECTOR,5476023.0,Tiempo Completo,26,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,104033.6,1/8 de tiempo,1,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESOR CATEDRATICO                   ,3440795.0,Tiempo Completo,23,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
TECNICO ESPECIALIZADO B,1612119.0,Tiempo Completo,27,TÉCNICO EN ADMISIÓN ESTUDIANTIL                                                                                                                                                                                                                                 ,"(1588235.0, 2051220.0]","(20.0, 30.0]",2020-08-01
PROFESIONAL B,2933838.0,Tiempo Completo,24,JEFATURA ADMINISTRATIVA B DE ESCUELA                                                                                                                                                                                                                            ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,459925.3,1/2 tiempo,6,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,148521.6,1/4 de tiempo,33,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(30.0, 40.0]",2020-08-01
PROFESOR ASOCIADO                      ,3930660.0,Tiempo Completo,26,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR CATEDRATICO                   ,4826026.0,Tiempo Completo,30,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR ASOCIADO                      ,3706740.0,Tiempo Completo,36,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
TRABAJADOR OPERATIVO C,1411553.0,Tiempo Completo,33,OPERADOR DE CENTRAL TELEFÓNICA                                                                                                                                                                                                                                  ,"(1294735.0, 1588235.0]","(30.0, 40.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,288496.65,1/2 tiempo,19,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(10.0, 20.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,0,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
TECNICO ASISTENCIAL B,1372341.0,Tiempo Completo,25,ASISTENTE DE ADMINISTRACIÓN                                                                                                                                                                                                                                     ,"(1294735.0, 1588235.0]","(20.0, 30.0]",2020-08-01
PROFESOR ASOCIADO                      ,3373970.0,Tiempo Completo,29,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,1973268.0,Tiempo Completo,9,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(-inf, 10.0]",2020-08-01
DIRECTOR DE ESCUELA,3184685.0,Tiempo Completo,24,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
TECNICO ESPECIALIZADO B,1612119.0,Tiempo Completo,28,TÉCNICO DE LABORATORIO DE BOTÁNICA Y MICOLOGÍA                                                                                                                                                                                                                  ,"(1588235.0, 2051220.0]","(20.0, 30.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,1693387.0,Tiempo Completo,22,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(20.0, 30.0]",2020-08-01
TECNICO ESPECIALIZADO D,1975660.0,Tiempo Completo,31,TÉCNICO EN COMPUTACIÓN E INFORMÁTICA                                                                                                                                                                                                                            ,"(1588235.0, 2051220.0]","(30.0, 40.0]",2020-08-01
PROFESOR ADJUNTO                       ,1411831.0,1/2 tiempo,29,PUESTO NO ADMINISTRATIVO ,"(1294735.0, 1588235.0]","(20.0, 30.0]",2020-08-01
TECNICO ESPECIALIZADO D,1919612.0,Tiempo Completo,29,TÉCNICO EN APOYO FINANCIERO DE SEDE                                                                                                                                                                                                                             ,"(1588235.0, 2051220.0]","(20.0, 30.0]",2020-08-01
PROFESOR ADJUNTO                       ,1668289.95,7/8 de tiempo,20,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(10.0, 20.0]",2020-08-01
PROFESOR CATEDRATICO                   ,5018211.0,Tiempo Completo,26,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
TECNICO ASISTENCIAL A,1433928.0,Tiempo Completo,32,ASISTENTE DE AGRONOMÍA                                                                                                                                                                                                                                          ,"(1294735.0, 1588235.0]","(30.0, 40.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,433762.0,1/2 tiempo,10,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(-inf, 10.0]",2020-08-01
PROFESIONAL C,3423279.0,Tiempo Completo,33,PROFESIONAL COORDINADOR DE CASED                                                                                                                                                                                                                                ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,983169.0,1/2 tiempo,23,PUESTO NO ADMINISTRATIVO ,"(804858.0, 1057817.0]","(20.0, 30.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,2490632.0,Tiempo Completo,33,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(30.0, 40.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,219424.1,1/8 de tiempo,20,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(10.0, 20.0]",2020-08-01
TECNICO ASISTENCIAL A,1515034.0,Tiempo Completo,37,ASISTENTE DE OFICINA                                                                                                                                                                                                                                            ,"(1294735.0, 1588235.0]","(30.0, 40.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,844760.95,Tiempo Completo,7,PUESTO NO ADMINISTRATIVO ,"(804858.0, 1057817.0]","(-inf, 10.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,568027.25,1/2 tiempo,22,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(20.0, 30.0]",2020-08-01
PROFESIONAL C,3667989.0,Tiempo Completo,30,PROFESIONAL EN AUDITORÍAS COMPLEJAS                                                                                                                                                                                                                             ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,2344572.0,Tiempo Completo,34,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(30.0, 40.0]",2020-08-01
PROFESOR ADJUNTO                       ,1227678.0,1/2 tiempo,32,PUESTO NO ADMINISTRATIVO ,"(1057817.0, 1294735.0]","(30.0, 40.0]",2020-08-01
PROFESOR ADJUNTO                       ,2339936.0,Tiempo Completo,19,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(10.0, 20.0]",2020-08-01
PROFESOR CATEDRATICO                   ,4897108.0,Tiempo Completo,36,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR ASOCIADO                      ,3056332.0,Tiempo Completo,19,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(10.0, 20.0]",2020-08-01
PROFESOR ADJUNTO                       ,2369672.0,Tiempo Completo,15,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(10.0, 20.0]",2020-08-01
TRABAJADOR OPERATIVO A,1135747.0,Tiempo Completo,23,TRABAJADOR AGROPECUARIO                                                                                                                                                                                                                                         ,"(1057817.0, 1294735.0]","(20.0, 30.0]",2020-08-01
PROFESOR CATEDRATICO                   ,4348286.0,Tiempo Completo,22,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,180145.9,1/4 de tiempo,14,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(10.0, 20.0]",2020-08-01
PROFESOR ASOCIADO                      ,3160198.8,7/8 de tiempo,31,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,113842.1,1/8 de tiempo,10,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
PROFESIONAL B,3210215.0,Tiempo Completo,33,JEFATURA ADMINISTRATIVA B DE ESCUELA                                                                                                                                                                                                                            ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
TECNICO ASISTENCIAL B,1351064.0,Tiempo Completo,24,OPERARIO EN MANTENIMIENTO GENERAL DE INSTALACIONES DE SEDE                                                                                                                                                                                                      ,"(1294735.0, 1588235.0]","(20.0, 30.0]",2020-08-01
PROFESOR CATEDRATICO                   ,3756701.0,Tiempo Completo,24,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
TECNICO ESPECIALIZADO B,1588235.0,Tiempo Completo,27,TÉCNICO EN BIBLIOTECOLOGÍA                                                                                                                                                                                                                                      ,"(1294735.0, 1588235.0]","(20.0, 30.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,568325.75,1/4 de tiempo,19,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(10.0, 20.0]",2020-08-01
PROFESIONAL A,2675188.0,Tiempo Completo,33,PENDIENTE                                                                                                                                                                                                                                                       ,"(2051220.0, 2802037.0]","(30.0, 40.0]",2020-08-01
PROFESIONAL B,2678848.0,Tiempo Completo,31,PROFESIONAL EN APOYO A LA INVESTIGACIÓN AGRONÓMICA                                                                                                                                                                                                              ,"(2051220.0, 2802037.0]","(30.0, 40.0]",2020-08-01
TECNICO ASISTENCIAL A,1333653.0,Tiempo Completo,27,OPERARIO EN MANTENIMIENTO GENERAL DE INSTALACIONES                                                                                                                                                                                                              ,"(1294735.0, 1588235.0]","(20.0, 30.0]",2020-08-01
TECNICO ESPECIALIZADO D,2031707.0,Tiempo Completo,33,TÉCNICO COORDINADOR DE MANTENIMIENTO                                                                                                                                                                                                                            ,"(1588235.0, 2051220.0]","(30.0, 40.0]",2020-08-01
JEFE A,3638504.0,Tiempo Completo,34,JEFE DE PROMOCIÓN DE LA INVESTIGACIÓN                                                                                                                                                                                                                           ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,2504353.5,Tiempo Completo,26,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(20.0, 30.0]",2020-08-01
PROFESOR CATEDRATICO                   ,3443560.0,Tiempo Completo,27,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR CATEDRATICO                   ,4842369.0,Tiempo Completo,24,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
TECNICO ASISTENCIAL A,1273489.0,Tiempo Completo,24,PUESTO NO ADMINISTRATIVO ,"(1057817.0, 1294735.0]","(20.0, 30.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,1849408.0,Tiempo Completo,14,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(10.0, 20.0]",2020-08-01
JEFE A,3684579.0,Tiempo Completo,30,JEFE DE DISEÑO Y PLANIFICACIÓN DE INFRAESTRUCTURAS DE OEPI                                                                                                                                                                                                      ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
TRABAJADOR OPERATIVO B,1330829.0,Tiempo Completo,33,CONSERJE                                                                                                                                                                                                                                                        ,"(1294735.0, 1588235.0]","(30.0, 40.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,973770.0,3/4 de tiempo,11,PUESTO NO ADMINISTRATIVO ,"(804858.0, 1057817.0]","(10.0, 20.0]",2020-08-01
TRABAJADOR OPERATIVO C,1444003.0,Tiempo Completo,35,CHOFER                                                                                                                                                                                                                                                          ,"(1294735.0, 1588235.0]","(30.0, 40.0]",2020-08-01
PROFESOR CATEDRATICO                   ,8573812.0,Tiempo Completo,49,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(40.0, 50.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,1742921.9,Tiempo Completo,19,PROFESIONAL EN ODONTOLOGÍA                                                                                                                                                                                                                                      ,"(1588235.0, 2051220.0]","(10.0, 20.0]",2020-08-01
TECNICO ASISTENCIAL B,1500000.0,Tiempo Completo,31,ASISTENTE DE REGISTRO E INFORMACIÓN ESTUDIANTIL                                                                                                                                                                                                                 ,"(1294735.0, 1588235.0]","(30.0, 40.0]",2020-08-01
TRABAJADOR OPERATIVO C,1691698.0,Tiempo Completo,25,OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              ,"(1588235.0, 2051220.0]","(20.0, 30.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,1983473.0,Tiempo Completo,13,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(10.0, 20.0]",2020-08-01
PROFESOR ADJUNTO                       ,1847323.55,7/8 de tiempo,21,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(20.0, 30.0]",2020-08-01
TRABAJADOR OPERATIVO C,1790751.0,Tiempo Completo,23,OFICIAL DE SEGURIDAD UNIVERSITARIA                                                                                                                                                                                                                              ,"(1588235.0, 2051220.0]","(20.0, 30.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,2759944.5,Tiempo Completo,15,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(10.0, 20.0]",2020-08-01
TRABAJADOR OPERATIVO B,1392872.0,Tiempo Completo,35,CONSERJE                                                                                                                                                                                                                                                        ,"(1294735.0, 1588235.0]","(30.0, 40.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,646085.75,1/2 tiempo,9,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,1823015.0,Tiempo Completo,21,PUESTO NO ADMINISTRATIVO ,"(1588235.0, 2051220.0]","(20.0, 30.0]",2020-08-01
TRABAJADOR OPERATIVO A,1363280.0,Tiempo Completo,34,TRABAJADOR AGROPECUARIO                                                                                                                                                                                                                                         ,"(1294735.0, 1588235.0]","(30.0, 40.0]",2020-08-01
PROFESOR CATEDRATICO                   ,5990613.0,Tiempo Completo,33,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR CATEDRATICO                   ,7207706.0,Tiempo Completo,34,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
DECANO,7042986.0,Tiempo Completo,35,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR CATEDRATICO                   ,4069194.0,Tiempo Completo,31,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
DIRECTOR DE ESCUELA,3875942.0,Tiempo Completo,31,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR CATEDRATICO                   ,5044512.5,Tiempo Completo,36,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
RECTOR,6561455.0,Tiempo Completo,24,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,114003.6,1/8 de tiempo,23,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(20.0, 30.0]",2020-08-01
TECNICO ESPECIALIZADO B,1332131.0,Tiempo Completo,19,TÉCNICO EN APOYO A LOS PROCESOS DE RECURSOS HUMANOS DE SEDE                                                                                                                                                                                                     ,"(1294735.0, 1588235.0]","(10.0, 20.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,583312.0,1/2 tiempo,9,PUESTO NO ADMINISTRATIVO ,"(552127.8, 804858.0]","(-inf, 10.0]",2020-08-01
PROFESIONAL B,2945838.0,Tiempo Completo,23,PROFESIONAL EN AUDITORÍA                                                                                                                                                                                                                                        ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR CATEDRATICO                   ,4445971.0,Tiempo Completo,27,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESIONAL B,3409280.0,Tiempo Completo,36,PROFESIONAL EN ORIENTACIÓN ESTUDIANTIL DE SEDE                                                                                                                                                                                                                  ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR CATEDRATICO                   ,4150927.0,Tiempo Completo,27,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
TECNICO ESPECIALIZADO D,2003683.0,Tiempo Completo,32,PENDIENTE........                                                                                                                                                                                                                                               ,"(1588235.0, 2051220.0]","(30.0, 40.0]",2020-08-01
PROFESIONAL C,3123277.0,Tiempo Completo,27,PROFESIONAL COORDINADOR DE OBRAS DE INFRAESTRUCTURAS                                                                                                                                                                                                            ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR INTERINO LICENCIADO           ,73830.3,1/8 de tiempo,0,PUESTO NO ADMINISTRATIVO ,"(6711.849, 160185.6]","(-inf, 10.0]",2020-08-01
VICERRECTOR,6152690.0,Tiempo Completo,20,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(10.0, 20.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,305444.5,1/4 de tiempo,15,PUESTO NO ADMINISTRATIVO ,"(160185.6, 330097.5]","(10.0, 20.0]",2020-08-01
PROFESOR ASOCIADO                      ,4596569.0,Tiempo Completo,32,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,1299790.0,5/8 de tiempo,25,PUESTO NO ADMINISTRATIVO ,"(1294735.0, 1588235.0]","(20.0, 30.0]",2020-08-01
TRABAJADOR OPERATIVO C,1469962.0,Tiempo Completo,37,CHOFER                                                                                                                                                                                                                                                          ,"(1294735.0, 1588235.0]","(30.0, 40.0]",2020-08-01
PROFESOR CATEDRATICO                   ,4275415.0,Tiempo Completo,15,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(10.0, 20.0]",2020-08-01
TECNICO ESPECIALIZADO D,1947636.0,Tiempo Completo,31,TÉCNICO DE LABORATORIO EN BROMATOLOGÍA                                                                                                                                                                                                                          ,"(1588235.0, 2051220.0]","(30.0, 40.0]",2020-08-01
PROFESOR ADJUNTO                       ,2652670.0,Tiempo Completo,32,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(30.0, 40.0]",2020-08-01
TRABAJADOR OPERATIVO C,1372614.0,Tiempo Completo,31,ENCARGADO DE SERVICIO DE CONSERJERÍA                                                                                                                                                                                                                            ,"(1294735.0, 1588235.0]","(30.0, 40.0]",2020-08-01
PROFESOR ASOCIADO                      ,2947210.0,Tiempo Completo,31,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR CATEDRATICO                   ,3372821.0,Tiempo Completo,27,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESIONAL D,3590283.0,Tiempo Completo,32,PROFESIONAL COORDINADOR DE EXPEDIENTES ACADÉMICOS Y GRADUACIONES                                                                                                                                                                                                ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
TECNICO ASISTENCIAL B,1393617.0,Tiempo Completo,26,SECRETARIA DE DIRECCIÓN                                                                                                                                                                                                                                         ,"(1294735.0, 1588235.0]","(20.0, 30.0]",2020-08-01
PROFESIONAL B,2810844.0,Tiempo Completo,28,PENDIENTE.                                                                                                                                                                                                                                                      ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,399944.75,1/4 de tiempo,17,PUESTO NO ADMINISTRATIVO ,"(330097.5, 552127.8]","(10.0, 20.0]",2020-08-01
PROFESIONAL C,2978593.0,Tiempo Completo,29,PROFESIONAL COORDINADOR DE COMERCIALIZACIÓN                                                                                                                                                                                                                     ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
JEFE A,3917552.0,Tiempo Completo,35,JEFE DE TECNOLOGÍAS DE INFORMACIÓN                                                                                                                                                                                                                              ,"(2802037.0, 9891736.0]","(30.0, 40.0]",2020-08-01
PROFESOR CATEDRATICO                   ,2133989.0,1/2 tiempo,31,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(30.0, 40.0]",2020-08-01
PROFESOR ASOCIADO                      ,3479650.0,Tiempo Completo,30,PUESTO NO ADMINISTRATIVO ,"(2802037.0, 9891736.0]","(20.0, 30.0]",2020-08-01
TECNICO ESPECIALIZADO B,1914391.0,Tiempo Completo,28,TÉCNICO EN SISTEMAS DE SEGURIDAD ELECTRÓNICA                                                                                                                                                                                                                    ,"(1588235.0, 2051220.0]","(20.0, 30.0]",2020-08-01
PROFESOR ADJUNTO                       ,2535431.0,Tiempo Completo,26,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(20.0, 30.0]",2020-08-01
TRABAJADOR OPERATIVO B,1293603.0,Tiempo Completo,28,CONSERJE                                                                                                                                                                                                                                                        ,"(1057817.0, 1294735.0]","(20.0, 30.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,1138783.5,1/2 tiempo,38,PUESTO NO ADMINISTRATIVO ,"(1057817.0, 1294735.0]","(30.0, 40.0]",2020-08-01
PROFESOR INSTRUCTOR                    ,2435731.0,Tiempo Completo,30,PUESTO NO ADMINISTRATIVO ,"(2051220.0, 2802037.0]","(20.0, 30.0]",2020-08-01
