position,salary,hours,years,respon,salary/1000,sal_qcut,years_cut,time
PROFESOR INTERINO LICENCIADO           ,104033.6,1/8 de tiempo,1,PUESTO NO ADMINISTRATIVO ,104.0336,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR CATEDRATICO,3440795.0,Tiempo Completo,23,PUESTO NO ADMINISTRATIVO ,3440.795,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
TECNICO ESPECIALIZADO B,1612119.0,Tiempo Completo,27,ADMINISTRATIVO,1612.119,"(1592456.575, 2051801.0]",20-30 Años,2020-08-01
PROFESIONAL B,2933838.0,Tiempo Completo,24,ADMINISTRATIVO,2933.838,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,459925.3,1/2 tiempo,6,PUESTO NO ADMINISTRATIVO ,459.9253,"(334919.26, 553674.0]",0-10 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,148521.6,1/4 de tiempo,33,PUESTO NO ADMINISTRATIVO ,148.5216,"(6711.849, 161986.54]",30-40 Años,2020-08-01
PROFESOR ASOCIADO                      ,3930660.0,Tiempo Completo,26,PUESTO NO ADMINISTRATIVO ,3930.66,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR CATEDRATICO,4826026.0,Tiempo Completo,30,PUESTO NO ADMINISTRATIVO ,4826.026,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR ASOCIADO                      ,3706740.0,Tiempo Completo,36,PUESTO NO ADMINISTRATIVO ,3706.74,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
TRABAJADOR OPERATIVO C,1411553.0,Tiempo Completo,33,ADMINISTRATIVO,1411.553,"(1297715.32, 1592456.575]",30-40 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,288496.65,1/2 tiempo,19,PUESTO NO ADMINISTRATIVO ,288.49665000000005,"(161986.54, 334919.26]",10-20 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,147660.6,1/4 de tiempo,0,PUESTO NO ADMINISTRATIVO ,147.66060000000002,"(6711.849, 161986.54]",0-10 Años,2020-08-01
TECNICO ASISTENCIAL B,1372341.0,Tiempo Completo,25,ADMINISTRATIVO,1372.341,"(1297715.32, 1592456.575]",20-30 Años,2020-08-01
PROFESOR ASOCIADO                      ,3373970.0,Tiempo Completo,29,PUESTO NO ADMINISTRATIVO ,3373.97,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1973268.0,Tiempo Completo,9,PUESTO NO ADMINISTRATIVO ,1973.268,"(1592456.575, 2051801.0]",0-10 Años,2020-08-01
DIRECTOR DE ESCUELA,3184685.0,Tiempo Completo,24,PUESTO NO ADMINISTRATIVO ,3184.685,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
TECNICO ESPECIALIZADO B,1612119.0,Tiempo Completo,28,ADMINISTRATIVO,1612.119,"(1592456.575, 2051801.0]",20-30 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1693387.0,Tiempo Completo,22,PUESTO NO ADMINISTRATIVO ,1693.387,"(1592456.575, 2051801.0]",20-30 Años,2020-08-01
TECNICO ESPECIALIZADO D,1975660.0,Tiempo Completo,31,ADMINISTRATIVO,1975.66,"(1592456.575, 2051801.0]",30-40 Años,2020-08-01
PROFESOR ADJUNTO                       ,1411831.0,1/2 tiempo,29,PUESTO NO ADMINISTRATIVO ,1411.831,"(1297715.32, 1592456.575]",20-30 Años,2020-08-01
TECNICO ESPECIALIZADO D,1919612.0,Tiempo Completo,29,ADMINISTRATIVO,1919.612,"(1592456.575, 2051801.0]",20-30 Años,2020-08-01
PROFESOR ADJUNTO                       ,1668289.95,7/8 de tiempo,20,PUESTO NO ADMINISTRATIVO ,1668.2899499999999,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESOR CATEDRATICO,5018211.0,Tiempo Completo,26,PUESTO NO ADMINISTRATIVO ,5018.211,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
TECNICO ASISTENCIAL A,1433928.0,Tiempo Completo,32,ADMINISTRATIVO,1433.928,"(1297715.32, 1592456.575]",30-40 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,433762.0,1/2 tiempo,10,PUESTO NO ADMINISTRATIVO ,433.762,"(334919.26, 553674.0]",0-10 Años,2020-08-01
PROFESIONAL C,3423279.0,Tiempo Completo,33,ADMINISTRATIVO,3423.279,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,983169.0,1/2 tiempo,23,PUESTO NO ADMINISTRATIVO ,983.169,"(810294.93, 1061071.0]",20-30 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,2490632.0,Tiempo Completo,33,PUESTO NO ADMINISTRATIVO ,2490.632,"(2051801.0, 2802161.5]",30-40 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,219424.1,1/8 de tiempo,20,PUESTO NO ADMINISTRATIVO ,219.4241,"(161986.54, 334919.26]",10-20 Años,2020-08-01
TECNICO ASISTENCIAL A,1515034.0,Tiempo Completo,37,ADMINISTRATIVO,1515.034,"(1297715.32, 1592456.575]",30-40 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,844760.95,Tiempo Completo,7,PUESTO NO ADMINISTRATIVO ,844.76095,"(810294.93, 1061071.0]",0-10 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,568027.25,1/2 tiempo,22,PUESTO NO ADMINISTRATIVO ,568.02725,"(553674.0, 810294.93]",20-30 Años,2020-08-01
PROFESIONAL C,3667989.0,Tiempo Completo,30,ADMINISTRATIVO,3667.989,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,2344572.0,Tiempo Completo,34,PUESTO NO ADMINISTRATIVO ,2344.572,"(2051801.0, 2802161.5]",30-40 Años,2020-08-01
PROFESOR ADJUNTO                       ,1227678.0,1/2 tiempo,32,PUESTO NO ADMINISTRATIVO ,1227.678,"(1061071.0, 1297715.32]",30-40 Años,2020-08-01
PROFESOR ADJUNTO                       ,2339936.0,Tiempo Completo,19,PUESTO NO ADMINISTRATIVO ,2339.936,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
PROFESOR CATEDRATICO,4897108.0,Tiempo Completo,36,PUESTO NO ADMINISTRATIVO ,4897.108,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESOR ASOCIADO                      ,3056332.0,Tiempo Completo,19,PUESTO NO ADMINISTRATIVO ,3056.332,"(2802161.5, 9891736.0]",10-20 Años,2020-08-01
PROFESOR ADJUNTO                       ,2369672.0,Tiempo Completo,15,PUESTO NO ADMINISTRATIVO ,2369.672,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
TRABAJADOR OPERATIVO A,1135747.0,Tiempo Completo,23,ADMINISTRATIVO,1135.747,"(1061071.0, 1297715.32]",20-30 Años,2020-08-01
PROFESOR CATEDRATICO,4348286.0,Tiempo Completo,22,PUESTO NO ADMINISTRATIVO ,4348.286,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,180145.9,1/4 de tiempo,14,PUESTO NO ADMINISTRATIVO ,180.14589999999998,"(161986.54, 334919.26]",10-20 Años,2020-08-01
PROFESOR ASOCIADO                      ,3160198.8,7/8 de tiempo,31,PUESTO NO ADMINISTRATIVO ,3160.1987999999997,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,113842.1,1/8 de tiempo,10,PUESTO NO ADMINISTRATIVO ,113.8421,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESIONAL B,3210215.0,Tiempo Completo,33,ADMINISTRATIVO,3210.215,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
TECNICO ASISTENCIAL B,1351064.0,Tiempo Completo,24,ADMINISTRATIVO,1351.064,"(1297715.32, 1592456.575]",20-30 Años,2020-08-01
PROFESOR CATEDRATICO,3756701.0,Tiempo Completo,24,PUESTO NO ADMINISTRATIVO ,3756.701,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
TECNICO ESPECIALIZADO B,1588235.0,Tiempo Completo,27,ADMINISTRATIVO,1588.235,"(1297715.32, 1592456.575]",20-30 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,568325.75,1/4 de tiempo,19,PUESTO NO ADMINISTRATIVO ,568.32575,"(553674.0, 810294.93]",10-20 Años,2020-08-01
PROFESIONAL A,2675188.0,Tiempo Completo,33,ADMINISTRATIVO,2675.188,"(2051801.0, 2802161.5]",30-40 Años,2020-08-01
PROFESIONAL B,2678848.0,Tiempo Completo,31,ADMINISTRATIVO,2678.848,"(2051801.0, 2802161.5]",30-40 Años,2020-08-01
TECNICO ASISTENCIAL A,1333653.0,Tiempo Completo,27,ADMINISTRATIVO,1333.653,"(1297715.32, 1592456.575]",20-30 Años,2020-08-01
TECNICO ESPECIALIZADO D,2031707.0,Tiempo Completo,33,ADMINISTRATIVO,2031.707,"(1592456.575, 2051801.0]",30-40 Años,2020-08-01
JEFE A,3638504.0,Tiempo Completo,34,ADMINISTRATIVO,3638.504,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,2504353.5,Tiempo Completo,26,PUESTO NO ADMINISTRATIVO ,2504.3535,"(2051801.0, 2802161.5]",20-30 Años,2020-08-01
PROFESOR CATEDRATICO,3443560.0,Tiempo Completo,27,PUESTO NO ADMINISTRATIVO ,3443.56,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR CATEDRATICO,4842369.0,Tiempo Completo,24,PUESTO NO ADMINISTRATIVO ,4842.369,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
TECNICO ASISTENCIAL A,1273489.0,Tiempo Completo,24,PUESTO NO ADMINISTRATIVO ,1273.489,"(1061071.0, 1297715.32]",20-30 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1849408.0,Tiempo Completo,14,PUESTO NO ADMINISTRATIVO ,1849.408,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
JEFE A,3684579.0,Tiempo Completo,30,ADMINISTRATIVO,3684.579,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
TRABAJADOR OPERATIVO B,1330829.0,Tiempo Completo,33,ADMINISTRATIVO,1330.829,"(1297715.32, 1592456.575]",30-40 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,973770.0,3/4 de tiempo,11,PUESTO NO ADMINISTRATIVO ,973.77,"(810294.93, 1061071.0]",10-20 Años,2020-08-01
TRABAJADOR OPERATIVO C,1444003.0,Tiempo Completo,35,ADMINISTRATIVO,1444.003,"(1297715.32, 1592456.575]",30-40 Años,2020-08-01
PROFESOR CATEDRATICO,8573812.0,Tiempo Completo,49,PUESTO NO ADMINISTRATIVO ,8573.812,"(2802161.5, 9891736.0]",40-50 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1742921.9,Tiempo Completo,19,ADMINISTRATIVO,1742.9218999999998,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
TECNICO ASISTENCIAL B,1500000.0,Tiempo Completo,31,ADMINISTRATIVO,1500.0,"(1297715.32, 1592456.575]",30-40 Años,2020-08-01
TRABAJADOR OPERATIVO C,1691698.0,Tiempo Completo,25,ADMINISTRATIVO,1691.698,"(1592456.575, 2051801.0]",20-30 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1983473.0,Tiempo Completo,13,PUESTO NO ADMINISTRATIVO ,1983.473,"(1592456.575, 2051801.0]",10-20 Años,2020-08-01
PROFESOR ADJUNTO                       ,1847323.55,7/8 de tiempo,21,PUESTO NO ADMINISTRATIVO ,1847.32355,"(1592456.575, 2051801.0]",20-30 Años,2020-08-01
TRABAJADOR OPERATIVO C,1790751.0,Tiempo Completo,23,ADMINISTRATIVO,1790.751,"(1592456.575, 2051801.0]",20-30 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,2759944.5,Tiempo Completo,15,PUESTO NO ADMINISTRATIVO ,2759.9445,"(2051801.0, 2802161.5]",10-20 Años,2020-08-01
TRABAJADOR OPERATIVO B,1392872.0,Tiempo Completo,35,ADMINISTRATIVO,1392.872,"(1297715.32, 1592456.575]",30-40 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,646085.75,1/2 tiempo,9,PUESTO NO ADMINISTRATIVO ,646.08575,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1823015.0,Tiempo Completo,21,PUESTO NO ADMINISTRATIVO ,1823.015,"(1592456.575, 2051801.0]",20-30 Años,2020-08-01
TRABAJADOR OPERATIVO A,1363280.0,Tiempo Completo,34,ADMINISTRATIVO,1363.28,"(1297715.32, 1592456.575]",30-40 Años,2020-08-01
PROFESOR CATEDRATICO,5990613.0,Tiempo Completo,33,PUESTO NO ADMINISTRATIVO ,5990.613,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESOR CATEDRATICO,7207706.0,Tiempo Completo,34,PUESTO NO ADMINISTRATIVO ,7207.706,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
DECANO,7042986.0,Tiempo Completo,35,PUESTO NO ADMINISTRATIVO ,7042.986,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESOR CATEDRATICO,4069194.0,Tiempo Completo,31,PUESTO NO ADMINISTRATIVO ,4069.194,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
DIRECTOR DE ESCUELA,3875942.0,Tiempo Completo,31,PUESTO NO ADMINISTRATIVO ,3875.942,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESOR CATEDRATICO,5044512.5,Tiempo Completo,36,PUESTO NO ADMINISTRATIVO ,5044.5125,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
RECTOR,6561455.0,Tiempo Completo,24,PUESTO NO ADMINISTRATIVO ,6561.455,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,114003.6,1/8 de tiempo,23,PUESTO NO ADMINISTRATIVO ,114.0036,"(6711.849, 161986.54]",20-30 Años,2020-08-01
TECNICO ESPECIALIZADO B,1332131.0,Tiempo Completo,19,ADMINISTRATIVO,1332.131,"(1297715.32, 1592456.575]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,583312.0,1/2 tiempo,9,PUESTO NO ADMINISTRATIVO ,583.312,"(553674.0, 810294.93]",0-10 Años,2020-08-01
PROFESIONAL B,2945838.0,Tiempo Completo,23,ADMINISTRATIVO,2945.838,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR CATEDRATICO,4445971.0,Tiempo Completo,27,PUESTO NO ADMINISTRATIVO ,4445.971,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESIONAL B,3409280.0,Tiempo Completo,36,ADMINISTRATIVO,3409.28,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESOR CATEDRATICO,4150927.0,Tiempo Completo,27,PUESTO NO ADMINISTRATIVO ,4150.927,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
TECNICO ESPECIALIZADO D,2003683.0,Tiempo Completo,32,ADMINISTRATIVO,2003.683,"(1592456.575, 2051801.0]",30-40 Años,2020-08-01
PROFESIONAL C,3123277.0,Tiempo Completo,27,ADMINISTRATIVO,3123.277,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,73830.3,1/8 de tiempo,0,PUESTO NO ADMINISTRATIVO ,73.83030000000001,"(6711.849, 161986.54]",0-10 Años,2020-08-01
VICERRECTOR,6152690.0,Tiempo Completo,20,PUESTO NO ADMINISTRATIVO ,6152.69,"(2802161.5, 9891736.0]",10-20 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,305444.5,1/4 de tiempo,15,PUESTO NO ADMINISTRATIVO ,305.4445,"(161986.54, 334919.26]",10-20 Años,2020-08-01
PROFESOR ASOCIADO                      ,4596569.0,Tiempo Completo,32,PUESTO NO ADMINISTRATIVO ,4596.569,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1299790.0,5/8 de tiempo,25,PUESTO NO ADMINISTRATIVO ,1299.79,"(1297715.32, 1592456.575]",20-30 Años,2020-08-01
TRABAJADOR OPERATIVO C,1469962.0,Tiempo Completo,37,ADMINISTRATIVO,1469.962,"(1297715.32, 1592456.575]",30-40 Años,2020-08-01
PROFESOR CATEDRATICO,4275415.0,Tiempo Completo,15,PUESTO NO ADMINISTRATIVO ,4275.415,"(2802161.5, 9891736.0]",10-20 Años,2020-08-01
TECNICO ESPECIALIZADO D,1947636.0,Tiempo Completo,31,ADMINISTRATIVO,1947.636,"(1592456.575, 2051801.0]",30-40 Años,2020-08-01
PROFESOR ADJUNTO                       ,2652670.0,Tiempo Completo,32,PUESTO NO ADMINISTRATIVO ,2652.67,"(2051801.0, 2802161.5]",30-40 Años,2020-08-01
TRABAJADOR OPERATIVO C,1372614.0,Tiempo Completo,31,ADMINISTRATIVO,1372.614,"(1297715.32, 1592456.575]",30-40 Años,2020-08-01
PROFESOR ASOCIADO                      ,2947210.0,Tiempo Completo,31,PUESTO NO ADMINISTRATIVO ,2947.21,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESOR CATEDRATICO,3372821.0,Tiempo Completo,27,PUESTO NO ADMINISTRATIVO ,3372.821,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESIONAL D,3590283.0,Tiempo Completo,32,ADMINISTRATIVO,3590.283,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
TECNICO ASISTENCIAL B,1393617.0,Tiempo Completo,26,ADMINISTRATIVO,1393.617,"(1297715.32, 1592456.575]",20-30 Años,2020-08-01
PROFESIONAL B,2810844.0,Tiempo Completo,28,ADMINISTRATIVO,2810.844,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,399944.75,1/4 de tiempo,17,PUESTO NO ADMINISTRATIVO ,399.94475,"(334919.26, 553674.0]",10-20 Años,2020-08-01
PROFESIONAL C,2978593.0,Tiempo Completo,29,ADMINISTRATIVO,2978.593,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
JEFE A,3917552.0,Tiempo Completo,35,ADMINISTRATIVO,3917.552,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESOR CATEDRATICO,2133989.0,1/2 tiempo,31,PUESTO NO ADMINISTRATIVO ,2133.989,"(2051801.0, 2802161.5]",30-40 Años,2020-08-01
PROFESOR ASOCIADO                      ,3479650.0,Tiempo Completo,30,PUESTO NO ADMINISTRATIVO ,3479.65,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
TECNICO ESPECIALIZADO B,1914391.0,Tiempo Completo,28,ADMINISTRATIVO,1914.391,"(1592456.575, 2051801.0]",20-30 Años,2020-08-01
PROFESOR ADJUNTO                       ,2535431.0,Tiempo Completo,26,PUESTO NO ADMINISTRATIVO ,2535.431,"(2051801.0, 2802161.5]",20-30 Años,2020-08-01
TRABAJADOR OPERATIVO B,1293603.0,Tiempo Completo,28,ADMINISTRATIVO,1293.603,"(1061071.0, 1297715.32]",20-30 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1138783.5,1/2 tiempo,38,PUESTO NO ADMINISTRATIVO ,1138.7835,"(1061071.0, 1297715.32]",30-40 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,2435731.0,Tiempo Completo,30,PUESTO NO ADMINISTRATIVO ,2435.731,"(2051801.0, 2802161.5]",20-30 Años,2020-08-01
TECNICO ESPECIALIZADO D,1947636.0,Tiempo Completo,30,ADMINISTRATIVO,1947.636,"(1592456.575, 2051801.0]",20-30 Años,2020-08-01
PROFESOR CATEDRATICO,5935085.0,Tiempo Completo,32,PUESTO NO ADMINISTRATIVO ,5935.085,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESIONAL C,3496809.0,Tiempo Completo,35,ADMINISTRATIVO,3496.809,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
TECNICO ESPECIALIZADO D,1919612.0,Tiempo Completo,31,PUESTO NO ADMINISTRATIVO ,1919.612,"(1592456.575, 2051801.0]",30-40 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,96077.85,1/4 de tiempo,9,PUESTO NO ADMINISTRATIVO ,96.07785000000001,"(6711.849, 161986.54]",0-10 Años,2020-08-01
PROFESOR PROFESOR SEP CONTRACTUAL      ,176785.8,1/4 de tiempo,0,PUESTO NO ADMINISTRATIVO ,176.7858,"(161986.54, 334919.26]",0-10 Años,2020-08-01
PROFESIONAL B,3187157.0,Tiempo Completo,35,ADMINISTRATIVO,3187.157,"(2802161.5, 9891736.0]",30-40 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,1819579.7,3/4 de tiempo,30,PUESTO NO ADMINISTRATIVO ,1819.5797,"(1592456.575, 2051801.0]",20-30 Años,2020-08-01
PROFESOR ASOCIADO                      ,3179420.0,Tiempo Completo,23,PUESTO NO ADMINISTRATIVO ,3179.42,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR ASOCIADO                      ,3749044.0,Tiempo Completo,30,PUESTO NO ADMINISTRATIVO ,3749.044,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,185683.15,1/4 de tiempo,9,PUESTO NO ADMINISTRATIVO ,185.68314999999998,"(161986.54, 334919.26]",0-10 Años,2020-08-01
TRABAJADOR OPERATIVO C,1444063.0,Tiempo Completo,14,ADMINISTRATIVO,1444.063,"(1297715.32, 1592456.575]",10-20 Años,2020-08-01
TRABAJADOR OPERATIVO B,1200538.0,Tiempo Completo,25,ADMINISTRATIVO,1200.538,"(1061071.0, 1297715.32]",20-30 Años,2020-08-01
TECNICO ESPECIALIZADO B,1461315.15,Tiempo Completo,25,ADMINISTRATIVO,1461.31515,"(1297715.32, 1592456.575]",20-30 Años,2020-08-01
PROFESOR INTERINO LICENCIADO           ,1772743.0,Tiempo Completo,25,PUESTO NO ADMINISTRATIVO ,1772.743,"(1592456.575, 2051801.0]",20-30 Años,2020-08-01
PROFESOR ASOCIADO                      ,2882476.0,Tiempo Completo,15,PUESTO NO ADMINISTRATIVO ,2882.476,"(2802161.5, 9891736.0]",10-20 Años,2020-08-01
PROFESOR CATEDRATICO,3921547.0,Tiempo Completo,24,PUESTO NO ADMINISTRATIVO ,3921.547,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
PROFESOR INSTRUCTOR                    ,2852491.0,Tiempo Completo,27,PUESTO NO ADMINISTRATIVO ,2852.491,"(2802161.5, 9891736.0]",20-30 Años,2020-08-01
